#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
1.6796875 9.27925E-10 1.15409E-09 1.99105E-09 2.21239E-09 1.25101E-09 1.7206E-09
1.6875  1.66425E-09 1.31362E-09 1.74835E-09 1.83486E-09 1.46584E-09 2.01802E-09
1.6953125 2.00802E-09 1.52292E-09 2.37903E-09 2.43678E-09 1.81257E-09 2.65208E-09
1.703125  1.38086E-09 7.18818E-10 1.67533E-09 2.58648E-09 1.82102E-09 2.46141E-09
1.7109375 1.64736E-09 1.58431E-09 2.27363E-09 2.8972E-09  1.7283E-09  2.14453E-09
1.71875 2.12954E-09 2.02E-09  2.73336E-09 2.09338E-09 1.3698E-09  1.55824E-09
1.7265625 1.4339E-09  1.50076E-09 1.77006E-09 2.52071E-09 1.60978E-09 1.73661E-09
1.734375  1.4147E-09  1.95266E-09 2.00426E-09 3.02113E-09 2.06977E-09 2.19549E-09
1.7421875 1.53495E-09 1.49677E-09 9.25983E-10 2.71951E-09 2.13512E-09 1.91841E-09
1.75  1.68179E-09 2.06532E-09 2.11617E-09 2.09963E-09 1.85162E-09 1.30836E-09
1.7578125 2.4189E-09  3.14351E-09 2.37613E-09 2.8152E-09  2.22509E-09 1.67148E-09
1.765625  2.60794E-09 3.05346E-09 1.83765E-09 2.29831E-09 2.13498E-09 1.65382E-09
1.7734375 1.77348E-09 2.63761E-09 2.22592E-09 2.07909E-09 2.53114E-09 2.04066E-09
1.78125 8.98115E-10 2.31473E-09 1.62796E-09 1.6682E-09  2.71421E-09 2.16606E-09
1.7890625 8.07611E-10 2.11503E-09 1.69934E-09 1.79567E-09 2.47234E-09 1.68322E-09
1.796875  1.21049E-09 1.18775E-09 1.02346E-09 1.84197E-09 2.23858E-09 1.58317E-09
1.8046875 1.36785E-09 1.34176E-09 1.52618E-09 1.25815E-09 1.24E-09  1.2489E-09
1.8125  1.61872E-09 1.90312E-09 2.16153E-09 1.35817E-09 1.93436E-09 1.45378E-09
1.8203125 1.74847E-09 1.77573E-09 1.43043E-09 1.04331E-09 1.92319E-09 1.10013E-09
1.828125  1.34077E-09 2.01143E-09 1.24311E-09 1.0237E-09  1.98394E-09 1.22156E-09
1.8359375 1.23362E-09 2.09037E-09 1.2158E-09  1.11961E-09 1.83243E-09 1.06619E-09
1.84375 9.80247E-10 1.75372E-09 1.12951E-09 1.27704E-09 3.6199E-09  2.07189E-09
1.8515625 1.26383E-09 1.39005E-09 7.58149E-10 9.60466E-10 3.66994E-09 2.34069E-09
1.859375  1.89825E-09 2.19922E-09 1.70194E-09 8.84151E-10 2.55685E-09 1.94537E-09
1.8671875 1.54679E-09 2.12988E-09 1.89981E-09 8.38055E-10 3.80833E-09 2.69359E-09
1.875 8.74772E-10 2.83499E-09 2.38369E-09 1.41514E-09 4.7997E-09  2.93692E-09
